DOY,lon,lat,temp,rcp26,rcp85,rcp26Smoothed,rcp85Smoothed,rcp26added,rcp85added
46,-114.2879028,63.39672852,-16.77203109,2.736659288,8.930996895,2.694123728,8.98010219,-14.07790737,-7.791928904
47,-114.2879028,63.39672852,-16.74474483,2.736659288,8.930996895,2.679497373,8.929685707,-14.06524746,-7.815059124
48,-114.2879028,63.39672852,-16.71745857,2.736659288,8.930996895,2.664871017,8.879269223,-14.05258755,-7.838189344
49,-114.2879028,63.39672852,-16.6901723,2.736659288,8.930996895,2.650244662,8.828852739,-14.03992764,-7.861319563
50,-114.2879028,63.39672852,-16.66288604,2.736659288,8.930996895,2.635618306,8.778436256,-14.02726773,-7.884449783
51,-114.2879028,63.39672852,-16.63559978,2.736659288,8.930996895,2.620991951,8.728019772,-14.01460782,-7.907580003
52,-114.2879028,63.39672852,-16.60831351,2.736659288,8.930996895,2.606365596,8.677603289,-14.00194792,-7.930710223
53,-114.2879028,63.39672852,-16.58102725,2.736659288,8.930996895,2.59173924,8.627186805,-13.98928801,-7.953840443
54,-114.2879028,63.39672852,-16.55374098,2.736659288,8.930996895,2.577112885,8.576770321,-13.9766281,-7.976970663
55,-114.2879028,63.39672852,-16.52645472,2.736659288,8.930996895,2.562486529,8.526353838,-13.96396819,-8.000100882
56,-114.2879028,63.39672852,-16.49916846,2.736659288,8.930996895,2.547860174,8.475937354,-13.95130828,-8.023231102
57,-114.2879028,63.39672852,-16.4347774,2.736659288,8.930996895,2.530932851,8.433084047,-13.90384455,-8.001693356
58,-114.2879028,63.39672852,-16.37038635,2.736659288,8.930996895,2.514005528,8.39023074,-13.85638082,-7.980155609
59,-114.2879028,63.39672852,-16.30599529,2.736659288,8.930996895,2.497078206,8.347377432,-13.80891709,-7.958617862
60,-114.2879028,63.39672852,-16.24160424,2.736659288,8.930996895,2.480150883,8.304524125,-13.76145336,-7.937080116
61,-114.2879028,63.39672852,-16.17721319,2.221211433,7.620855808,2.46322356,8.261670818,-13.71398963,-7.915542369
62,-114.2879028,63.39672852,-16.11282213,2.221211433,7.620855808,2.446296238,8.218817511,-13.6665259,-7.894004622
63,-114.2879028,63.39672852,-16.04843108,2.221211433,7.620855808,2.429368915,8.175964203,-13.61906216,-7.872466876
64,-114.2879028,63.39672852,-15.98404002,2.221211433,7.620855808,2.412441592,8.133110896,-13.57159843,-7.850929129
65,-114.2879028,63.39672852,-15.91964897,2.221211433,7.620855808,2.395514269,8.090257589,-13.5241347,-7.829391382
66,-114.2879028,63.39672852,-15.85525792,2.221211433,7.620855808,2.378586947,8.047404282,-13.47667097,-7.807853636
