rcp26_raw,rcp85_raw,rcp26_smooth,rcp85_smooth
2.900418997,13.0101223,3.373429566,12.98981018
2.900418997,13.0101223,3.353878481,12.97853919
2.900418997,13.0101223,3.334327396,12.9672682
2.900418997,13.0101223,3.314776311,12.95599721
2.900418997,13.0101223,3.295225225,12.94472622
2.900418997,13.0101223,3.27567414,12.93345523
2.900418997,13.0101223,3.259139644,12.89631425
2.900418997,13.0101223,3.242605149,12.85917326
2.900418997,13.0101223,3.226070653,12.82203228
2.900418997,13.0101223,3.209536157,12.78489129
2.900418997,13.0101223,3.193001661,12.74775031
2.900418997,13.0101223,3.176467166,12.71060933
2.900418997,13.0101223,3.15993267,12.67346834
2.900418997,13.0101223,3.143398174,12.63632736
2.900418997,13.0101223,3.126863678,12.59918637
2.900418997,13.0101223,3.110329183,12.56204539
2.900418997,13.0101223,3.096901083,12.51698651
2.900418997,13.0101223,3.083472984,12.47192763
2.900418997,13.0101223,3.070044884,12.42686876
2.900418997,13.0101223,3.056616785,12.38180988
2.900418997,13.0101223,3.043188685,12.33675101
2.900418997,13.0101223,3.029760586,12.29169213
2.900418997,13.0101223,3.016332486,12.24663326
2.900418997,13.0101223,3.002904387,12.20157438
2.900418997,13.0101223,2.989476287,12.15651551
2.900418997,13.0101223,2.976048188,12.11145663
2.900418997,13.0101223,2.970710838,12.06029077
2.900418997,13.0101223,2.965373488,12.0091249
2.900418997,13.0101223,2.960036138,11.95795904
2.900418997,13.0101223,2.954698788,11.90679318
2.900418997,13.0101223,2.949361437,11.85562731
2.929741383,10.81303215,2.944024087,11.80446145
2.929741383,10.81303215,2.938686737,11.75329559
2.929741383,10.81303215,2.933349387,11.70212972
2.929741383,10.81303215,2.928012037,11.65096386
2.929741383,10.81303215,2.922674687,11.599798
2.929741383,10.81303215,2.922717917,11.54187298
2.929741383,10.81303215,2.922761148,11.48394795
2.929741383,10.81303215,2.922804378,11.42602293
2.929741383,10.81303215,2.922847609,11.36809791
2.929741383,10.81303215,2.922890839,11.31017289
2.929741383,10.81303215,2.922934069,11.25224786
2.929741383,10.81303215,2.9229773,11.19432284
2.929741383,10.81303215,2.92302053,11.13639782
2.929741383,10.81303215,2.923063761,11.0784728
2.929741383,10.81303215,2.923106991,11.02054777
2.929741383,10.81303215,2.923138469,10.96377799
2.929741383,10.81303215,2.923169947,10.90700821
2.929741383,10.81303215,2.923201424,10.85023843
2.929741383,10.81303215,2.923232902,10.79346864
2.929741383,10.81303215,2.92326438,10.73669886
2.929741383,10.81303215,2.923295857,10.67992908
2.929741383,10.81303215,2.923327335,10.62315929
2.929741383,10.81303215,2.923358813,10.56638951
2.929741383,10.81303215,2.92339029,10.50961973
2.929741383,10.81303215,2.923421768,10.45284994
2.929741383,10.81303215,2.919281978,10.403043
2.929741383,10.81303215,2.915142189,10.35323606
2.929741383,10.81303215,2.911002399,10.30342911
2.929741383,10.81303215,2.906862609,10.25362217
2.929400444,9.576442719,2.90272282,10.20381523
2.929400444,9.576442719,2.89858303,10.15400829
2.929400444,9.576442719,2.89444324,10.10420134
2.929400444,9.576442719,2.890303451,10.0543944
2.929400444,9.576442719,2.886163661,10.00458746
2.929400444,9.576442719,2.882023871,9.954780513
2.929400444,9.576442719,2.871150223,9.902390596
2.929400444,9.576442719,2.860276576,9.850000679
2.929400444,9.576442719,2.849402928,9.797610762
2.929400444,9.576442719,2.83852928,9.745220845
2.929400444,9.576442719,2.827655633,9.692830927
2.929400444,9.576442719,2.816781985,9.64044101
2.929400444,9.576442719,2.805908337,9.588051093
2.929400444,9.576442719,2.795034689,9.535661176
2.929400444,9.576442719,2.784161042,9.483271259
2.929400444,9.576442719,2.773287394,9.430881342
2.929400444,9.576442719,2.759472293,9.377941575
2.929400444,9.576442719,2.745657192,9.325001809
2.929400444,9.576442719,2.731842091,9.272062042
2.929400444,9.576442719,2.71802699,9.219122275
2.929400444,9.576442719,2.704211889,9.166182509
2.929400444,9.576442719,2.690396788,9.113242742
2.929400444,9.576442719,2.676581687,9.060302976
2.929400444,9.576442719,2.662766586,9.007363209
2.929400444,9.576442719,2.648951485,8.954423443
2.929400444,9.576442719,2.635136384,8.901483676
2.929400444,9.576442719,2.624273007,8.855763668
2.929400444,9.576442719,2.613409631,8.810043659
2.929400444,9.576442719,2.602546254,8.764323651
2.929400444,9.576442719,2.591682877,8.718603643
2.929400444,9.576442719,2.580819501,8.672883634
2.162474632,7.612800121,2.569956124,8.627163626
2.162474632,7.612800121,2.559092747,8.581443618
2.162474632,7.612800121,2.548229371,8.535723609
2.162474632,7.612800121,2.537365994,8.490003601
2.162474632,7.612800121,2.526502617,8.444283593
2.162474632,7.612800121,2.519078061,8.404736763
2.162474632,7.612800121,2.511653504,8.365189933
2.162474632,7.612800121,2.504228947,8.325643103
2.162474632,7.612800121,2.49680439,8.286096274
2.162474632,7.612800121,2.489379834,8.246549444
2.162474632,7.612800121,2.481955277,8.207002614
2.162474632,7.612800121,2.47453072,8.167455784
2.162474632,7.612800121,2.467106163,8.127908954
2.162474632,7.612800121,2.459681607,8.088362124
2.162474632,7.612800121,2.45225705,8.048815295
2.162474632,7.612800121,2.448151963,8.015068892
2.162474632,7.612800121,2.444046877,7.98132249
2.162474632,7.612800121,2.43994179,7.947576088
2.162474632,7.612800121,2.435836704,7.913829686
2.162474632,7.612800121,2.431731617,7.880083284
2.162474632,7.612800121,2.427626531,7.846336881
2.162474632,7.612800121,2.423521444,7.812590479
2.162474632,7.612800121,2.419416358,7.778844077
2.162474632,7.612800121,2.415311271,7.745097675
