"","EID","X","Y","x","y"
"65081",39,-111.646301269531,62.6390190124512,167,187
"65082",40,-111.029098510742,62.6554794311523,168,187
"65083",41,-110.41130065918,62.6696090698242,169,187
"65084",42,-109.793098449707,62.6813812255859,170,187
"65085",43,-109.174499511719,62.6908111572266,171,187
"65086",44,-108.555603027344,62.6978912353516,172,187
"65087",45,-107.936500549316,62.7026214599609,173,187
"65424",46,-115.402397155762,62.7735214233398,161,188
"65425",47,-114.785202026367,62.8041801452637,162,188
"65426",48,-114.166999816895,62.8325004577637,163,188
"65427",49,-113.547798156738,62.8584899902344,164,188
"65428",50,-112.927597045898,62.8821182250977,165,188
"65429",51,-112.306701660156,62.9034118652344,166,188
"65430",52,-111.684997558594,62.9223518371582,167,188
"65431",53,-111.062698364258,62.9389305114746,168,188
"65432",54,-110.439796447754,62.9531517028809,169,188
"65433",55,-109.816398620605,62.9650115966797,170,188
"65434",56,-109.192596435547,62.9745101928711,171,188
"65435",57,-108.568603515625,62.9816398620605,172,188
"65436",58,-107.944297790527,62.986400604248,173,188
"65772",59,-116.093696594238,63.0222015380859,160,189
"65773",60,-115.472602844238,63.055419921875,161,189
"65774",61,-114.850303649902,63.0862998962402,162,189
"65775",62,-114.226997375488,63.1148109436035,163,189
"65776",63,-113.602600097656,63.1409797668457,164,189
"65777",64,-112.97730255127,63.1647796630859,165,189
"65778",65,-112.351196289062,63.1862182617188,166,189
"65779",66,-111.724296569824,63.2052917480469,167,189
"65780",67,-111.096801757812,63.2219886779785,168,189
"65781",68,-110.468696594238,63.2363090515137,169,189
"65782",69,-109.840103149414,63.2482490539551,170,189
"65783",70,-109.211097717285,63.2578201293945,171,189
"65784",71,-108.581802368164,63.2649993896484,172,189
"65785",72,-107.952201843262,63.2697906494141,173,189
"65786",73,-107.322601318359,63.2722091674805,174,189
"66120",74,-116.794998168945,63.267650604248,159,190
"66121",75,-116.170097351074,63.3034591674805,160,190
"66122",76,-115.543899536133,63.3369216918945,161,190
"66123",77,-114.916496276855,63.3680114746094,162,190
"66124",78,-114.287902832031,63.396728515625,163,190
"66125",79,-113.658401489258,63.4230804443359,164,190
"66126",80,-113.027900695801,63.4470481872559,165,190
"66127",81,-112.396499633789,63.4686393737793,166,190
"66128",82,-111.76439666748,63.4878387451172,167,190
"66129",83,-111.131500244141,63.5046501159668,168,190
"66130",84,-110.498100280762,63.5190811157227,169,190
"66131",85,-109.864196777344,63.5311088562012,170,190
"66132",86,-109.22989654541,63.5407295227051,171,190
"66133",87,-108.595199584961,63.5479698181152,172,190
"66134",88,-107.960296630859,63.5527992248535,173,190
"66135",89,-107.325302124023,63.5552291870117,174,190
"66468",90,-117.50659942627,63.5098114013672,158,191
"66469",91,-116.877899169922,63.5482406616211,159,191
"66470",92,-116.247802734375,63.584300994873,160,191
"66471",93,-115.616401672363,63.6179809570312,161,191
"66472",94,-114.98380279541,63.6492881774902,162,191
"66473",95,-114.349998474121,63.6782188415527,163,191
"66474",96,-113.715103149414,63.7047500610352,164,191
"66475",97,-113.079299926758,63.728889465332,165,191
"66476",98,-112.442596435547,63.7506294250488,166,191
"66477",99,-111.805000305176,63.7699699401855,167,191
"66478",100,-111.166801452637,63.7868995666504,168,191
"66479",101,-110.52799987793,63.8014297485352,169,191
"66480",102,-109.888702392578,63.8135414123535,170,191
"66481",103,-109.248901367188,63.8232383728027,171,191
"66482",104,-108.608901977539,63.8305206298828,172,191
"66483",105,-107.96849822998,63.8353881835938,173,191
"66484",106,-107.328102111816,63.8378295898438,174,191
"66485",107,-106.687599182129,63.8378601074219,175,191
"66813",108,-120.115699768066,63.6112213134766,154,192
"66814",109,-119.488403320312,63.6593704223633,155,192
"66815",110,-118.859298706055,63.7051696777344,156,192
"66816",111,-118.228500366211,63.7486190795898,157,192
"66817",112,-117.596199035645,63.7896881103516,158,192
"66818",113,-116.962196350098,63.8283805847168,159,192
"66819",114,-116.32689666748,63.8647003173828,160,192
"66820",115,-115.690200805664,63.8986206054688,161,192
"66821",116,-115.052200317383,63.9301490783691,162,192
"66822",117,-114.41300201416,63.9592781066895,163,192
"66823",118,-113.772796630859,63.9860000610352,164,192
"66824",119,-113.131500244141,64.0103073120117,165,192
"66825",120,-112.489402770996,64.0322113037109,166,192
"66826",121,-111.846397399902,64.0516891479492,167,192
"66827",122,-111.202796936035,64.0687408447266,168,192
"66828",123,-110.558502197266,64.083366394043,169,192
"66829",124,-109.913597106934,64.095573425293,170,192
"66830",125,-109.268402099609,64.1053314208984,171,192
"66831",126,-108.622703552246,64.1126708984375,172,192
"66832",127,-107.976898193359,64.1175689697266,173,192
"66833",128,-107.330902099609,64.1200332641602,174,192
"66834",129,-106.684898376465,64.1200637817383,175,192
"67161",130,-120.858100891113,63.8385391235352,153,193
"67162",131,-120.227600097656,63.8893890380859,154,193
"67163",132,-119.595199584961,63.9378700256348,155,193
"67164",133,-118.960899353027,63.984001159668,156,193
"67165",134,-118.324897766113,64.0277404785156,157,193
"67166",135,-117.687202453613,64.0691070556641,158,193
"67167",136,-117.047996520996,64.1080703735352,159,193
"67168",137,-116.407302856445,64.1446533203125,160,193
"67169",138,-115.765197753906,64.1788101196289,161,193
"67170",139,-115.121803283691,64.210563659668,162,193
"67171",140,-114.477203369141,64.2398986816406,163,193
"67172",141,-113.831497192383,64.2668075561523,164,193
"67173",142,-113.184700012207,64.2912979125977,165,193
"67174",143,-112.537002563477,64.313346862793,166,193
"67175",144,-111.888496398926,64.3329620361328,167,193
"67176",145,-111.239303588867,64.3501434326172,168,193
"67177",146,-110.589401245117,64.3648681640625,169,193
"67178",147,-109.939002990723,64.3771591186523,170,193
"67179",148,-109.288101196289,64.3869934082031,171,193
"67180",149,-108.636901855469,64.3943862915039,172,193
"67181",150,-107.985397338867,64.3993072509766,173,193
"67182",151,-107.333801269531,64.4018020629883,174,193
"67510",152,-120.977096557617,64.1158599853516,153,194
"67511",153,-120.341400146484,64.1670684814453,154,194
"67512",154,-119.703796386719,64.2158966064453,155,194
"67513",155,-119.06420135498,64.262336730957,156,194
"67514",156,-118.422897338867,64.306396484375,157,194
"67515",157,-117.779899597168,64.3480529785156,158,194
"67516",158,-117.135299682617,64.3873062133789,159,194
"67517",159,-116.489097595215,64.4241333007812,160,194
"67518",160,-115.841499328613,64.4585418701172,161,194
"67519",161,-115.192596435547,64.4905166625977,162,194
"67520",162,-114.542503356934,64.5200729370117,163,194
"67521",163,-113.89119720459,64.5471725463867,164,194
"67522",164,-113.238800048828,64.5718307495117,165,194
"67523",165,-112.585502624512,64.5940475463867,166,194
"67524",166,-111.931396484375,64.6138000488281,167,194
"67525",167,-111.276496887207,64.631103515625,168,194
"67526",168,-110.620903015137,64.6459426879883,169,194
"67527",169,-109.964797973633,64.6583099365234,170,194
"67528",170,-109.308197021484,64.6682205200195,171,194
"67529",171,-108.651298522949,64.6756591796875,172,194
"67530",172,-107.994102478027,64.6806335449219,173,194
"67531",173,-107.336700439453,64.6831436157227,174,194
"67859",174,-121.098197937012,64.3927001953125,153,195
"67860",175,-120.45719909668,64.4442672729492,154,195
"67861",176,-119.81420135498,64.4934463500977,155,195
"67862",177,-119.169296264648,64.5402221679688,156,195
"67863",178,-118.522598266602,64.584587097168,157,195
"67864",179,-117.874099731445,64.6265411376953,158,195
"67865",180,-117.223999023438,64.6660690307617,159,195
"67866",181,-116.572303771973,64.7031631469727,160,195
"67867",182,-115.91919708252,64.7378234863281,161,195
"67868",183,-115.264701843262,64.7700271606445,162,195
"67869",184,-114.608901977539,64.7997817993164,163,195
"67870",185,-113.95189666748,64.8270874023438,164,195
"67871",186,-113.293899536133,64.851921081543,165,195
"67872",187,-112.634902954102,64.8742904663086,166,195
