DOY,movementRate
7.508404331,7.302614666
7.723453569,4.450800501
7.573707779,5.04854579
8.379086545,7.98614317
8.010905982,5.490115017
8.534488668,5.963291304
9.724364297,6.894398119
8.885446534,6.381000298
10.13045828,4.127377452
10.39035129,8.340828735
10.19594562,7.646832081
11.61221026,8.833129757
12.10424639,6.458186881
12.62644935,9.162669514
12.48454317,3.841730756
12.76802027,9.470435518
12.59936815,10.01271351
13.83960993,10.38456128
13.65210336,10.87416085
14.45644427,6.071127157
14.84004333,3.632143831
15.40553771,9.04745868
15.38290661,9.752420076
16.80823329,5.66209461
16.54208006,8.649271693
17.1965499,3.476643855
18.28406995,8.128729083
18.64967234,7.796500808
19.16002232,5.253062064
19.41654653,7.512037264
19.55308792,3.322834096
19.18908238,6.814822696
19.82332969,6.31902567
20.45769232,5.829426107
21.51372981,4.947132762
21.13188567,7.480430204
21.95290152,5.494763114
21.9117331,3.282268885
22.19610653,7.037931358
23.25991225,6.573121646
23.8721863,4.896426248
24.3151545,5.648089954
24.27368057,3.419176472
24.21733739,6.154792905
26.24961953,4.904971235
26.59208262,5.649413648
26.63559658,3.554393843
28.66856612,4.632192065
29.03490698,5.699279387
28.99789,3.70989382
30.64729414,4.381666172
31.2321703,4.670500558
31.39050149,5.494763114
31.42184484,3.885724694
33.30371636,4.570214341
33.746096,5.290246841
33.91972447,3.862681937
35.6589775,4.347781766
36.10169051,5.085730567
35.95632103,4.189577442
36.07017733,3.392132998
38.45819708,4.930230591
38.44462224,4.200684584
38.42552024,3.174094988
40.45109189,3.96515182
40.81662211,4.87783386
40.78762286,3.31934098
42.94420209,3.946524218
43.17511005,4.828817563
43.14541709,3.233043323
44.6362586,2.663649413
45.49963561,3.675033091
45.53413264,4.808534957
45.15124645,3.443402918
46.99163295,2.44730162
47.79605166,3.816555417
47.89438179,4.85417082
47.58410381,3.548759786
49.34835967,2.303633164
50.02649061,4.166252446
50.25472529,4.904877334
50.23151498,3.657497088
51.70700486,2.263067952
52.47808579,4.31801986
52.39834841,4.835766233
52.59188993,3.70989382
53.4319332,2.746808096
54.74932252,4.382938283
54.95013675,3.647919191
54.61963624,3.176912016
57.10655753,4.266586955
57.31221091,3.79163594
59.35665468,4.495055072
59.8707427,3.734683671
61.204294,4.030003842
62.22634177,3.482382377
64.27265653,3.226860616
66.52022343,2.980309497
68.80727288,3.414739652
68.55892181,3.035919737
69.328062,4.025964424
70.40812751,4.43499697
71.2410043,3.086767103
71.48819302,4.844029517
73.10126843,5.080152851
73.59973163,3.050616578
74.69884515,4.48333718
75.95562091,2.861942066
75.76258168,4.014808991
76.71985608,3.588379281
78.31968127,3.112402062
78.31045062,2.616323333
80.6799147,3.157192817
80.66289891,2.242721226
83.04085576,3.240013456
83.15827797,2.270190587
85.40195406,3.331285181
85.38651827,2.501726612
85.37522133,1.894600617
87.76059925,3.29071997
87.74712595,2.56663095
87.62797657,1.926883764
89.8873458,2.314619575
90.11477745,3.010087585
89.72148394,2.622610941
92.47145609,2.863835511
92.46077438,2.289773383
95.02103251,2.913264657
94.81782189,2.163345141
97.39835889,3.240978288
97.18511591,2.587589642
97.17558647,2.07545385
99.5612789,3.488475375
99.54837695,2.795091966
99.00772252,2.557165734
99.5334454,1.992633211
101.9212764,3.520589501
101.9049223,2.64167659
101.8912414,1.906432137
103.6389964,3.616931877
104.158272,2.705904842
104.2519938,1.979111474
104.2931072,4.188647823
104.7338514,4.820789031
105.1745956,5.45293024
105.6153398,6.085071448
106.5555644,3.095586127
106.2981215,2.43399116
106.0559976,6.712564559
106.4964823,7.330761476
106.9372265,7.962902685
107.8009267,3.468163258
107.3779708,8.595043893
107.818715,9.227185102
108.7912441,3.85694271
108.4063781,2.934325614
108.2594592,9.85932631
108.6998575,10.47287513
109.1406017,11.10501634
110.1500728,4.173273348
109.5813459,11.73715755
110.0683861,3.330077883
110.0220901,12.36929875
110.4627479,12.99679187
111.4172971,4.739051383
110.9030597,13.60569259
111.3419876,14.14022376
111.1471007,3.66651158
112.2894839,5.119196867
111.7796183,14.60503347
112.4424644,4.118926366
112.3506523,5.588757967
112.216903,15.05125079
112.5866741,6.105478808
112.6541876,15.49746812
112.9164124,6.535523705
113.0914723,15.94368544
113.3893379,6.97595673
113.5288435,16.39455086
113.7481605,7.432089994
113.9667336,16.87330486
114.6945497,5.267935974
114.1220666,7.930366005
114.8032482,4.19329592
114.4040183,17.31952219
114.4516445,8.351793477
114.841303,17.76573951
114.8899094,8.850689235
115.2785877,18.21195684
115.4370919,9.439448203
115.7158724,18.65817416
115.8766252,10.00651605
116.1532436,19.10903958
116.3932485,10.59970178
116.6527998,5.610965542
116.5911337,19.58779358
116.9507711,4.333771744
116.9113752,11.1821977
117.9926588,19.98195222
117.6698846,11.85707845
117.7874827,20.48255228
