DOY,movementRate
350,10.00443581
351,10.18379423
352,10.33529478
353,10.43526409
354,10.46002879
355,10.39247068
356,10.27563182
357,10.11296881
358,9.893017324
359,9.60473186
360,9.245448249
361,8.820212397
362,8.334355177
363,8.334355177
364,8.334355177
365,8.334355177
