range,x,y
Winter,434.5,357
Winter,434.5,476.8333333
Winter,437.5,356.8333333
Winter,437.5,475.8333333
Winter,440.5,356.5
Winter,440.5,474.8333333
Winter,443.5,356
Winter,443.5,473.6666667
Winter,446.5,356
Winter,446.5,472.8333333
Winter,449.5,356
Winter,449.5,471.5
Winter,452.5,356
Winter,452.5,470.5
Winter,455.5,356
Winter,455.5,469.3333333
Winter,458.5,356.5
Winter,458.5,468
Winter,461.5,357.5
Winter,461.5,466.6666667
Winter,464.5,358.3333333
Winter,464.5,465.1666667
Winter,467.5,359.5
Winter,467.5,463.1666667
Winter,470.5,361.5
Winter,470.5,461.1666667
Winter,473.5,363.5
Winter,473.5,459
Winter,476.5,456.3333333
Winter,477.5,367.5
Winter,479.5,371.5
Winter,479.1666667,452.8333333
Winter,481,375.25
Winter,481.1666667,392.1666667
Winter,481,395.5
Winter,480.5,398.5
Winter,480.5,401.5
Winter,480.5,404.5
Winter,480.5,407.5
Winter,480.8333333,411.1666667
Winter,481,450
Winter,481.5,378.5
Winter,482,381.5
Winter,482,384.25
Winter,481.5,387.5
Winter,481.5,413.5
Winter,481.8333333,417.5
Winter,482,447
Winter,482.5,420.5
Winter,483,423.5
Winter,483,426.25
Winter,483.1666667,442.8333333
Winter,484,430
Winter,484,433
Winter,484,436
Winter,484,438.75
Fall,147.7,293.9
Fall,148.5,298.1666667
Fall,149.5,300.5
Fall,150.5,291.1666667
Fall,152.5,301.8333333
Fall,153.5,289.3333333
Fall,155.5,303.5
Fall,156.7,287.1
Fall,158.5,306.3333333
Fall,159.5,284.5
Fall,161.5,308
Fall,162.3,282.8
Fall,164.5,279.125
Fall,164.5,309.3333333
Fall,166.5,275
Fall,167.5,271.6666667
Fall,167.5,311.5
Fall,168.5,231.125
Fall,168,235
Fall,168,238
Fall,168,241
Fall,168,244
Fall,168.5,247.5
Fall,168.5,250.5
Fall,168.25,253.75
Fall,168.75,268.125
Fall,169.5,226.375
Fall,169,257
Fall,169,260
Fall,169,263
Fall,168.5,265.5
Fall,170,222.5
Fall,170.5,313.8333333
Fall,171,219.5
Fall,172.5,215.75
Fall,173.5,316.25
Fall,174.5,211.75
Fall,175.7,318.9
Fall,176.7,208.1
Fall,178.25,320.75
Fall,179.5,204.5
Fall,179.75,323.25
Fall,182.5,201.5
Fall,182.25,324.75
Fall,183.5,327.1666667
Fall,185.5,199.1666667
Fall,185.5,329.75
Fall,187.7,332.9
Fall,188.5,197
Fall,190.25,335.75
Fall,191.5,195.5
Fall,191.5,338.3333333
Fall,193.5,341.75
Fall,194.5,194
Fall,195.5,345.3333333
Fall,197.5,192.8333333
Fall,197.8333333,348.8333333
Fall,199.5,351.875
Fall,200.5,192.1666667
Fall,201.5,355.75
Fall,203.5,191.1666667
Fall,203.5,358.6666667
Fall,204.5,362.3333333
Fall,206.5,190.6666667
Fall,207.5,365.25
Fall,209.5,190
Fall,209.5,367.8333333
Fall,212.5,189.1666667
Fall,212.5,370.5
Fall,215.5,188.3333333
Fall,215.5,373.5
Fall,218.5,187.5
Fall,218.5,375.8333333
Fall,221.5,186.5
Fall,221.5,377.8333333
Fall,224.7,184.3
Fall,223.5,186
Fall,224.5,380.1666667
Fall,227.5,183.1666667
Fall,227.5,382
Fall,230.7,181.7
Fall,230.5,383.6666667
Fall,233.25,181.5
Fall,233.5,385.1666667
Fall,236.5,177
Fall,236.5,386
Fall,239.25,175.25
Fall,239.5,386.3333333
Fall,242.5,171.8333333
Fall,242.5,386.6666667
Fall,245.5,169.5
Fall,245.5,386.8333333
Fall,248.5,168
Fall,248.5,386.75
Fall,251.5,166.1666667
Fall,251.5,386.3333333
Fall,254.5,164.5
Fall,254.5,386.5
Fall,257.5,163.5
Fall,257.5,387
Fall,260.5,162.5
Fall,260.5,387.8333333
Fall,263.5,161.6666667
Fall,263.5,388.3333333
Fall,266.5,160.75
Fall,266.5,389.5
Fall,269.5,160.5
Fall,269.5,390.6666667
Fall,272.5,159.8333333
Fall,272.5,391.8333333
Fall,275.75,159
Fall,275.5,393
Fall,278.5,158.3333333
Fall,278.5,394.5
Fall,281.5,157
Fall,281.5,396
Fall,284.5,155.8333333
Fall,284.5,397.5
Fall,287.5,154.1666667
Fall,287.5,399.1666667
Fall,289.5,401
Fall,290.5,151.5
Fall,292,401.5
Fall,293.5,148.8333333
Fall,295.5,146.6666667
Fall,296.5,404.8333333
Fall,298.5,142
Fall,299.5,406.1666667
Fall,300.5,138.6666667
Fall,301.5,135.8333333
Fall,301.5,408.1666667
Fall,303.5,132.625
Fall,304.5,409.8333333
Fall,305.5,128.875
Fall,307.1666667,125.8333333
Fall,307.5,411.1666667
Fall,309.5,122.3333333
Fall,310.5,412.6666667
Fall,312.3,119.5
Fall,313.5,413
Fall,315.5,115.5
Fall,316.5,413.5
Fall,318.5,112.8333333
Fall,319.5,412.8333333
Fall,320.5,109.5
Fall,322.5,411.5
Fall,323.5,107
Fall,325.5,410.1666667
Fall,326.5,104.5
Fall,328.7,408.1
Fall,329.5,101.5
Fall,331.5,405.5
Fall,332.5,99.33333333
Fall,334.5,403.1666667
Fall,335.5,97.5
Fall,338.5,95.66666667
Fall,338.5,401.5
Fall,341.5,95
Fall,341.5,399.1666667
Fall,344.5,95
Fall,344.5,398
Fall,347.5,94.5
Fall,347.5,396.8333333
Fall,350.5,95.66666667
Fall,350.5,396.1666667
Fall,353.5,97.33333333
Fall,353.5,395.6666667
Fall,356.5,98.83333333
Fall,356.5,395
Fall,358.5,101.75
Fall,359.5,395
Fall,360.5,104.75
Fall,362.5,108.25
Fall,362.5,394.5
Fall,364.5,111.75
Fall,365.5,394.5
Fall,366.5,115.625
Fall,368.5,118.5
Fall,368.5,394.5
Fall,370.5,121.75
Fall,371.5,394.5
Fall,373.5,124
Fall,374.5,394.8333333
Fall,377.5,127.6666667
Fall,377.5,395
Fall,380.5,130.3333333
Fall,380.5,395.1666667
Fall,383.5,132.5
Fall,383.5,396
Fall,386.5,135.3333333
Fall,386.5,396.6666667
Fall,389.5,137.5
Fall,389.5,397.3333333
Fall,392.25,140.75
Fall,392.5,398.1666667
Fall,393.5,143.1666667
Fall,395.5,399
Fall,396.5,145.5
Fall,398.5,148.75
Fall,398.5,400.1666667
Fall,400.5,151.75
Fall,401.5,401.3333333
Fall,402.5,155.25
Fall,404.5,158.625
Fall,406.5,161.875
Fall,406.5,403
Fall,408.5,164.8333333
Fall,409.5,404
Fall,411.5,167.1666667
Fall,412.5,405.6666667
Fall,413.5,169.8333333
Fall,415.5,407.1666667
Fall,416.25,171.875
Fall,418.5,409
Fall,419.5,173.5
Fall,421.5,410
Fall,422.5,175.3333333
Fall,424.5,411.1666667
Fall,425.5,177
Fall,427.5,412.1666667
Fall,428.5,178.1666667
Fall,430.5,412.8333333
Fall,431.5,179.5
Fall,433.5,413.5
Fall,434.5,181.5
Fall,436.5,413.8333333
Fall,437.5,183.5
Fall,438.75,186.25
Fall,439.5,321.375
Fall,439,413.75
Fall,440.8333333,187.8333333
Fall,441.5,317.75
Fall,441.5,323.3333333
Fall,442.5,190.875
Fall,442.5,413
Fall,443.5,314.5
Fall,444.5,194.3333333
Fall,444.5,324.5
Fall,444.8333333,197.8333333
Fall,445.1666667,225.1666667
Fall,445,229
Fall,445,232
Fall,445,235
Fall,445,238
Fall,445,241
Fall,445,244
Fall,445.5,411.6666667
Fall,446.5,201.75
Fall,446.5,213.8333333
Fall,446,217.5
Fall,446,220.25
Fall,445.5,247.5
Fall,445.5,251.5
Fall,446,312
Fall,447,206
Fall,447,209
Fall,446.5,211.5
Fall,447.5,325.5
Fall,448.5,409.75
Fall,448.5,257.5
Fall,449.5,260.3333333
Fall,449.5,263.3333333
Fall,449.5,307.375
Fall,450.5,266.5
Fall,450,326.25
Fall,450.5,406.625
Fall,451,269.75
Fall,451.5,303.875
Fall,452.5,273.25
Fall,452.1666667,403.5
Fall,453.5,277.5
Fall,453,301
Fall,454,281
Fall,454.1666667,297.6666667
Fall,454.5,399.625
Fall,455.1666667,284.8333333
Fall,455,288.5
Fall,455,291.5
Fall,455,294.25
Fall,455.5,328.5
Fall,456.5,394.625
Fall,458.5,330.6666667
Fall,458.5,389.625
Fall,460,385.5
Fall,461.5,333
Fall,461.5,382.1666667
Fall,462.5,379.1666667
Fall,463,376.5
Fall,463.5,336.5
Fall,464.1666667,373
Fall,465,338.5
Fall,465.5,368.5
Fall,466,341.5
Fall,466.7,358.1
Fall,466.5,363.25
Fall,467,344.5
Fall,467,347.25
Fall,468,350.5
Fall,468,353.25
